"","行政區","路名","段、號及其他註明","經度","緯度","備註"
"1","中山區","北安路","524號對面","121.546367",25.079964,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"2","中山區","北安路","522號對面","121.546324",25.079954,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"3","中山區","北安路","85號(碧海山莊前)","121.529995",25.078496,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"4","中山區","北安路","47號(美僑協會)","121.528379",25.077639,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"5","中山區","北安路","85號對面","121.529984",25.078437,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"6","中山區","北安路","387號對面(空軍司令部)","121.540226",25.079405,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"7","中山區","北安路","420號大直高中","121.542753",25.079531,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"8","中山區","北安路","劍南路捷運站","121.554852",25.084952,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"9","中山區","北安路","807號前(國防示範樂隊)","121.554713",25.085303,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"10","中山區","敬業三路","劍南捷運站(3號出口前)","121.556249",25.084254,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"11","中山區","劍南路","067號路燈桿觀景亭旁","121.556932",25.087828,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"12","中山區","北安路","843號前公車站牌","121.557766",25.084657,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"13","中山區","北安路","409號","121.54322",25.079712,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"14","中山區","明水路","500號","121.552388",25.078901,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"15","中山區","新生北路","二段28巷口","121.527317",25.053792,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"16","中山區","新生北路","二段林森公園站牌前","121.527328",25.053371,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"17","中山區","南京東路","一段86號(對面)","121.525782",25.052249,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"18","中山區","南京東路","一段公車專用道(單號邊)","121.525722",25.05211,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"19","中山區","林森北路","14號公園西側","121.525526",25.053471,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"20","中山區","林森北路","欣欣百貨","121.525503",25.053859,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"21","中山區","林森北路","15號公園東側","121.525313",25.053368,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"22","中山區","南京東路","一段林森北路口","121.525235",25.052233,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"23","中山區","南京東路","一段公車專用道(雙號邊)","121.525092",25.052094,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"24","中山區","南京東路","一段31巷口","121.524504",25.05226,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"25","中山區","南京東路","一段1號","121.522835",25.052328,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"26","中山區","中山北路","二段長春路口","121.522878",25.055052,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"27","中山區","中山北路","二段48號","121.522628",25.055871,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"28","中山區","中山北路","二段34號","121.522525",25.05423,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"29","中山區","中山北路","一段152號","121.522348",25.052077,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"30","中山區","中山北路","一段130號","121.522026",25.051228,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"31","中山區","南京東路","一段6號","121.523307",25.052102,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"32","中山區","長安東路","一段29號","121.524422",25.049273,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"33","中山區","林森北路","62號","121.524402",25.048917,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"34","中山區","林森北路","40號","121.524181",25.048144,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"35","中山區","林森北路","380號","121.525443",25.058193,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"36","中山區","中山北路","二段79號前","121.523002",25.058003,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"37","中山區","中山北路","二段111號前","121.523057",25.060237,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"38","中山區","中山北路","二段52號前","121.522645",25.056361,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"39","中山區","中山北路","一段114之1號前","121.521754",25.050539,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"40","中山區","中山北路","一段108號前","121.521349",25.049033,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"41","中山區","市民大道","捷運R1出口","121.519225",25.048688,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"42","中山區","松江路","530號","121.533175",25.066917,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"43","中山區","民權東路","二段與松江路交叉口(西北側)","121.533105",25.062616,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"44","中山區","民權東路","二段107號前(西向公車道)1","121.533025",25.062512,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"45","中山區","民權東路","二段、吉林路口公車站","121.531777",25.06264,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"46","中山區","民權東路","二段21號前(西向公車道)1","121.529057",25.062652,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"47","中山區","民權東路","二段21號前(西向公車道)2","121.529057",25.062652,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"48","中山區","民權東路","二段17號","121.528925",25.062708,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"49","中山區","民權東路","二段1號前","121.527993",25.06274,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"50","中山區","民權東路","二段46號前(東向公車道)1","121.530214",25.062521,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"51","中山區","松江路","350號前","121.533088",25.061538,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"52","中山區","松江路","錦洲街(公車道北往南)1","121.53313",25.060379,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"53","中山區","松江路","民權東路二段(公車道南往北)1","121.533254",25.062338,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"54","中山區","松江路","民權東路二段(公車道南往北)2","121.533254",25.062338,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"55","中山區","民權東路","二段建國北路口(東向西公車道)1","121.5367",25.06233,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"56","中山區","民生東路","二段149號東側","121.535169",25.058021,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
