行政區,路名,段、號及其他註明,經度,緯度,備註
中山區,北安路,524號對面,121.546367,25.079964,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,522號對面,121.546324,25.079954,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,85號(碧海山莊前),121.529995,25.078496,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,47號(美僑協會),121.528379,25.077639,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,85號對面,121.529984,25.078437,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,387號對面(空軍司令部),121.540226,25.079405,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,420號大直高中,121.542753,25.079531,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,劍南路捷運站,121.554852,25.084952,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,807號前(國防示範樂隊),121.554713,25.085303,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,敬業三路,劍南捷運站(3號出口前),121.556249,25.084254,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,劍南路,067號路燈桿觀景亭旁,121.556932,25.087828,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,843號前公車站牌,121.557766,25.084657,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,北安路,409號,121.54322,25.079712,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,明水路,500號,121.552388,25.078901,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,新生北路,二段28巷口,121.527317,25.053792,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,新生北路,二段林森公園站牌前,121.527328,25.053371,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段86號(對面),121.525782,25.052249,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段公車專用道(單號邊),121.525722,25.05211,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,林森北路,14號公園西側,121.525526,25.053471,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,林森北路,欣欣百貨,121.525503,25.053859,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,林森北路,15號公園東側,121.525313,25.053368,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段林森北路口,121.525235,25.052233,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段公車專用道(雙號邊),121.525092,25.052094,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段31巷口,121.524504,25.05226,嚴禁投入家用垃圾，違者重罰新台幣6000元
中山區,南京東路,一段1號,121.522835,25.052328,嚴禁投入家用垃圾，違者重罰新台幣6000元
