行政區,路名,段、號及其他註明,經度,緯度,備註
信義區,忠孝東路,4段光復南路口,121.5555227,25.0412694,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段巨蛋2號門前,121.550163,25.05156,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段聯合報公車站前,121.5630746,25.0412432,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段國館第2停車場右惻,121.558054,25.039413,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段國館第2停車場左惻,121.557839,25.03937,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段與逸仙路口,121.561509,25.041137,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,4段508號公車站前,121.562072,25.041137,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松高路,寒舍艾美酒店,121.568251,25.037965,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段光復南路口1,121.55741,25.037762,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段光復南路口2,121.557453,25.03789,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館大門左側,121.559442,25.037781,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館大門前,121.560215,25.037787,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館逸仙路口-2,121.561422,25.03776,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館逸仙路口-1,121.561224,25.03776,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段市議會前逸仙路口,121.561869,25.03765,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段市議會與市府廣場前,121.562665,25.037614,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館光復南路口公車亭前,121.557853,25.037824,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段國館前國館公車亭前,121.557682,25.038985,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段500號公車亭前,121.561166,25.037428,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,仁愛路,4段518號,121.56149,25.037428,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松壽路,市府南門,121.564527,25.035928,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松壽路,新光三越A9館前,121.565993,25.035918,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松壽路,世貿三館花旗銀行提款機前,121.564778,25.035763,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松壽路,華納威秀手機門市前,121.567422,25.035782,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松廉路,76號郵局旁,121.567212,25.033908,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,基隆路口,121.55983,25.033222,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,莊敬路口,121.33404,25.032959,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,信義廣場旁,121.565501,25.033001,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,信義區公所旁,121.56616,25.033,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,光復南路口公車亭旁,121.557697,25.033098,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,巨蛋工地公車站(捷運國館站)旁,121.557772,25.041513,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,光復國小-1,121.557759,25.040782,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,光復國小-2,121.557752,25.040136,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,國父紀念館第一停車場旁-1,121.557746,25.039357,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,國父紀念館第一停車場旁-2,121.557723,25.039057,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,國館旁國館公車站前-1,121.557687,25.038935,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,國館旁國館公車站前-2,121.557473,25.038956,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,國館仁愛路口,121.557697,25.037882,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,光復南路,473號,121.557602,25.033802,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,逸仙路,忠孝東路口,121.561476,25.041112,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,逸仙路,逸仙42巷口對面,121.561481,25.040249,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,逸仙路,逸仙32巷口對面,121.561489,25.039809,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,逸仙路,松高路口,121.561484,25.039199,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,逸仙路,近仁愛路口,121.56145,25.03799,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,基隆路,1段松山高中右1,121.56619,25.044398,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,基隆路,1段松山高中右2,121.566352,25.044635,嚴禁投入家用垃圾，違者重罰新台幣6000元
