行政區,路名,段、號及其他註明,經度,緯度,備註
內湖區,民權東路,六段138號(新湖國小前),121.58877,25.068902,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,二段322號(停車場前),121.590615,25.067689,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,二段312巷口(湖興公園前),121.590527,25.066984,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,二段193巷口(下灣公園前),121.590735,25.066867,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,二段233號(薑母鴨前),121.590828,25.067736,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段99號(行政大樓車場出口左邊),121.588681,25.069208,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段97號(士林地方法院前),121.588341,25.069167,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段45號(三民國中左邊),121.585393,25.069044,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段156號(土地銀行前),121.591798,25.06883,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段186號旁,121.59319,25.068808,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段210巷口,121.597778,25.067328,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段191巷口,121.597666,25.067621,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段153巷口,121.594999,25.068792,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段109號(彰化銀行前),121.591525,25.069077,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,二段(三軍總院站牌),121.590074,25.071174,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,二段369號(橡木桶前),121.590067,25.073745,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,文德路,175號前(捷運站旁),121.586021,25.078672,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,文德路,50號(文德3號公園前),121.580915,25.078368,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,文德路,218號(內湖高中右邊30公尺),121.586317,25.078491,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,三段(內湖國中成功路側門右邊),121.589948,25.077045,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,南京東路,六段91號對面人行道,121.5771528,25.0552491,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,二段376號旁,121.590338,25.0693502,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段228號前人行道,121.599735,25.066729,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段253號前人行道,121.601013,25.067322,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段173號公車站牌旁,121.595968,25.068342,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,六段203巷口右側邊,121.598753,25.067127,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,行善路,181巷口,121.5815421,25.0597082,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,行善路,417巷口,121.585683,25.0648195,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,行善路,與金豐街交叉口,121.5869024,25.0654265,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,四段360號,121.600291,25.084755,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,四段30巷口,121.591694,25.081673,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,三段61號方濟中學,121.590254,25.076919,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,四段57號,121.592165,25.081787,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,四段155號,121.594027,25.083273,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,四段363號,121.600137,25.084547,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,五段大湖公園站1,121.602535,25.083526,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,五段大湖公園2,121.604513,25.082898,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,五段大湖公園3,121.604966,25.082835,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,五段大湖公園站4,121.602631,25.083767,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,金龍路,234號,121.586618,25.088514,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,三段143號,121.5900094,25.0795986,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,五段大湖公園(關景台),121.6044519,25.0822805,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,四段64號,121.592608,25.082647,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,東湖路,69號前,121.614926,25.068658,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康寧路,3段183號,121.611832,25.070028,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康寧路,3段105號前,121.610686,25.071006,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康寧路,3段81號公車站牌,121.609381,25.071824,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,5段39號前,121.606971,25.077456,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,5段404號對面候車亭,121.607088,25.075726,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,金湖路,團管區前,121.602597,25.073537,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,6段471號,121.604954,25.072516,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,6段296巷紅磚人行道,121.605336,25.072606,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康寧路,3段54之5號公車站牌前,121.609127,25.07171,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康寧路,3段60號前,121.610896,25.070592,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康寧路,3段220號前站牌,121.611427,25.067408,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康寧路,3段225號中油加油站,121.611825,25.067599,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,東湖路,86號,121.614566,25.068637,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,安康路,內湖焚化廠內,121.604699,25.063238,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康樂街,129號公車站牌,121.6193432,25.071263,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康寧路,三段18號葫洲捷運站出口,121.60793,25.072516,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,金湖路,403號前公車站牌,121.6042392,25.0733579,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,成功路,五段450巷23弄口葫洲捷運站,121.6085553,25.0732111,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,康樂街,150號前公車站牌,121.6192283,25.0725774,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,安康路,228巷能源中心前,121.6034052,25.0623379,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段550號港墘派出所邊,121.576769,25.078897,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段606號公車站牌右側,121.578433,25.078681,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,文德路,25號公車站牌,121.580645,25.078574,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,2段與文德路口小公園旁,121.579493,25.078602,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段741號左側,121.578761,25.078827,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段729號公車站牌,121.578019,25.079089,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段727號公車站牌,121.577909,25.079135,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段277號公車站牌,121.56579,25.082465,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段217巷口公車站牌右側,121.564168,25.08309,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段155號前,121.563305,25.08353,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段99號公車站牌,121.5615179,25.084428,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,環山路,1段27號公車站牌右側,121.56562,25.085821,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,環山路,2段65號對面公車站牌,121.574157,25.08525,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,一段225巷口,121.564774,25.082788,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,一段239號,121.565379,25.082594,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,一段285巷65弄77號右邊,121.570652,25.084227,嚴禁投入家用垃圾，違者重罰新台幣6000元
