行政區,路名,段、號及其他註明,經度,緯度,備註
南港區,東新街,64巷(忠孝醫院側門人行道),121.586735,25.046732,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,東新街,65號(成德國小側門旁),121.587306,25.046829,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路五段,815號公車站（合庫）,121.582369,25.045046,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路五段,982號前公車站,121.582353,25.044604,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,永吉路,544號前公車站,121.582584,25.044922,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路七段,捷運南港站1號出口旁公車站,121.60618,25.051915,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路六段,209號旁公車站（國華新村站）,121.588031,25.049166,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路六段,295號公車站（陸軍後勤指揮部站）,121.590696,25.049776,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,同德路,87號忠孝醫院前公車站,121.586441,25.046286,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路六段,2號（捷運後山埤站3號出口）公車亭左邊,121.582989,25.045213,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路六段,與永吉路交叉口（後山埤捷運站4號出口）變電箱旁,121.582579,25.045405,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路七段,265巷口旁公車站(南港機廠),121.60299,25.051806,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路六段,238號前,121.587875,25.048877,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,永吉路,561號前公車站,121.584415,25.047621,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路六段,440號,121.593754,25.050273,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路六段,77號公車站,121.584526,25.047715,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路六段,捷運昆陽站公車亭旁,121.59328,25.050407,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路七段,124巷17弄口旁公車站,121.602876,25.051535,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路七段,124巷17弄口對面1,121.604265,25.051892,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,忠孝東路七段,124巷17弄口對面2,121.604576,25.051904,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,市民大道八段,(CITYLINK南港店C1.C2棟中間人行道)1,121.60442,25.052745,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,市民大道八段,(CITYLINK南港店C1.C2棟中間人行道)2,121.604173,25.052716,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,市民大道八段,東往西方向公車站1,121.596327,25.051509,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,市民大道八段,東往西方向公車站2,121.598693,25.051898,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,市民大道八段,東往西方向公車站3,121.602759,25.052501,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,三重路,39號前,121.614165,25.059647,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,三重路,19之2號前公車站南側,121.613937,25.056627,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,三重路,19之2號前公車站北側,121.613929,25.056552,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,三重路,36號旁公車站北側,121.614093,25.056546,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,三重路,36號旁公車站南側,121.614051,25.056359,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路一段,157號前,121.613552,25.055122,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路一段,惠民街口,121.610028,25.055025,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路一段,南興公園前西側1,121.606802,25.054291,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路一段,南興公園前東側,121.606917,25.054468,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路一段,360號公所前東側,121.60656,25.054405,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路一段,153號前,121.613685,25.055089,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路一段,366號前,121.60721,25.054382,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路二段,78號郵局旁公車站東側,121.603731,25.053928,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路二段,78號郵局旁公車站西側,121.603609,25.053893,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路二段,142號前公車站,121.600617,25.053433,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,向陽路,162巷口南港分局旁公車站,121.593831,25.05586,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,向陽路,139號旁公車站,121.594396,25.055386,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路三段,104號前公車站,121.590054,25.053575,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路三段,168號前,121.58771,25.053099,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路三段,252號前,121.584982,25.052677,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,八德路四段,895號前,121.580853,25.050937,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,八德路四段,800號前,121.581124,25.050812,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路三段,139號,121.585211,25.052581,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路三段,95號前,121.587702,25.052925,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路三段,53號前(賓士汽車前),121.589596,25.053222,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路二段,玉成國小附幼大門旁,121.593181,25.054329,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,向陽路,21號旁南港高中公車站北側,121.595002,25.052944,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,向陽路,84號旁公車站(台電工程部前),121.595261,25.052936,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路二段,137號前,121.596334,25.054281,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路二段,212巷口對面,121.598829,25.053609,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,南港路二段,51號旁公車站(南港輪胎),121.60052,25.053303,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,興中路,12巷(南港區公所後門),121.606668,25.05487,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,重陽路,366號(育成高中旁),121.609497,25.0589,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,經貿二路,187巷口旁公車站(南港軟體園區站1號出口前),121.615777,25.059956,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,經貿一路,展覽館停車場入口處,121.619653,25.056653,嚴禁投入家用垃圾，違者重罰新台幣6000元
南港區,經貿一路,展覽館機車停車場入口處,121.618784,25.055359,嚴禁投入家用垃圾，違者重罰新台幣6000元
