行政區,路名,段、號及其他註明,經度,緯度,備註
大同區,民權西路,95號對面公車站內,121.518584,25.062983,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,95號對面公車站內,121.518683,25.062978,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段5號,121.518414,25.063481,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段15號,121.518419,25.063765,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段53號,121.518453,25.06517,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段111號,121.518486,25.066786,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段175號,121.518541,25.069031,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段223號,121.51855,25.070102,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,圓山捷運酒泉街1號出口,121.519837,25.070744,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,圓山捷運酒泉街1號出口,121.519862,25.070944,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,圓山捷運酒泉街1號出口,121.519898,25.071156,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,庫倫街,圓山捷運庫倫街2號出口,121.520029,25.071838,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段（中華電信）,121.518715,25.07173,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段277號(合作金庫),121.519196,25.072948,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段287號(職訓中心),121.519912,25.074297,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段民族西路公車站?,121.513804,25.068391,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段336號(明倫高中側門),121.520205,25.075986,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段336號(明倫高中正門),121.519837,25.075358,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,敦煌路,21巷口,121.517446,25.075993,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段320號,121.519872,25.074802,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段80號,121.518244,25.06609,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段240號,121.518715,25.07241,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,庫倫街,25號,121.517756,25.071984,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,庫倫街,1號前,121.516956,25.072057,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段212號,121.518366,25.070933,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段202號,121.518338,25.069992,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段160號,121.518301,25.068765,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,大龍街公車站內?,121.516693,25.063033,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段152號,121.518276,25.068328,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段52號,121.518178,25.065015,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,125號,121.51746,25.063085,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,151號,121.516476,25.063074,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,大龍街公車站,121.516626,25.063024,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,221號,121.513933,25.063169,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段11號,121.513787,25.064431,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段昌吉街口公車站內,121.513767,25.065705,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段昌吉街公車站,121.513773,25.065873,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段81號,121.513838,25.066862,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民族西路,202號,121.514368,25.06856,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段民族西路公車站,121.513829,25.068421,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段145號,121.513876,25.068397,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段187號,121.513876,25.069086,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段225號,121.513905,25.070621,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段酒泉街公車站,121.513878,25.071747,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段酒泉街公車站,121.513882,25.072013,嚴禁投入家用垃圾，違者重罰新台幣6000元
