行政區,路名,段、號及其他註明,經度,緯度,備註
文山區,羅斯福路,6段206號右前,121.543341,24.9934414,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,羅斯福路,6段393號右前,121.539167,24.992222,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,羅斯福路,6段393號左前,121.5404851,24.9921399,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,羅斯福路,6段206號左前,121.533056,24.995278,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,羅斯福路,5段29號公車專用道上,121.5385753,25.0076637,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,羅斯福路,5段33號公車專用道上,121.53033,25.009227,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,羅斯福路,5段72號公車專用道上,121.52982,25.010197,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,羅斯福路,5段76號公車專用道上,121.5380648,25.0082075,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,2段70號     ,121.547952,24.999873,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,2段88號,121.551442,25.001748,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,2段88號,121.5516605,25.001853,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,3段82號,121.556709,24.999722,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,3段86號,121.556709,24.999722,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,3段222號文山運動中心前,121.559597,24.996986,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,3段280號,121.559883,24.996487,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,3段115巷口捷運站外,121.557881,24.999144,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,3段115巷口捷運站外,121.557823,24.999208,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,辛亥路,4段89號對面,121.558592,25.006937,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,辛亥路,4段128號捷運站出口處,121.556874,25.004919,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,2段97號興隆市場前,121.556874,25.004919,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,興隆路,2段97號興隆市場前,121.547657,24.999753,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,木柵路,1段72號國家考場右前,121.549544,24.987306,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,木柵路,1段17巷1號(世新大學門口對面公車站牌前),121.544111,24.988456,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,木柵路,1段72巷1號(國家考場左側前紅磚道),121.549042,24.987153,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,試院路,1號考試院站牌前,121.549564,24.987309,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,試院路,1號考試院右前紅磚道,121.549083,24.987389,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,木柵路,1段17巷1號(世新大學門口對面公車站牌左前),121.543793,24.988526,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,木柵路,3段51號對面,121.566323,24.988567,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷14號旁(田寮橋),121.587228,24.970184,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷14號旁(田寮橋),121.587228,24.970184,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷14號旁(田寮橋),121.58681,24.970233,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷14號旁(田寮橋),121.58681,24.970233,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷17號前30公尺轉彎處(田寮橋),121.580207,24.972586,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷17號前30公尺轉彎處(田寮橋),121.578648,24.97277,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷17號前30公尺轉彎處(田寮橋),121.578943,24.972704,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷16-1號(樟湖橋),121.587178,24.970748,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷16-1號(樟湖橋),121.587178,24.970748,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷16-2號(緣續緣茶莊斜對面),121.587445,24.969188,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷18-2號旁(貓空纜車站公車站牌對面),121.587896,24.968292,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷18-2號旁(貓空纜車站公車站牌對面),121.587899,24.968298,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷16-5號轉角(貓空纜車站34、38巷交叉口),121.587976,24.968383,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷35號對面(貓空纜車站出口對面),121.587944,24.96848,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷33號紅木屋前120公尺處(樟湖幹147A對面),121.589731,24.966635,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷33號紅木屋前120公尺處(樟湖幹147A對面),121.589696,24.966631,嚴禁投入家用垃圾，違者重罰新台幣6000元
文山區,指南路,3段38巷37-2號(天恩宮轉角),121.592337,24.970737,嚴禁投入家用垃圾，違者重罰新台幣6000元
