行政區,路名,段、號及其他註明,經度,緯度,備註
中正,三元街,67號旁,121.508659,25.029831,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山北路,一段46號前(逸仙公園前),121.520263,25.047712,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山北路,一段14號前,121.51966,25.046265,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山北路,行政院側公車站,121.520188,25.046567,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山北路,與北平東路交叉口(北側號誌箱旁),121.520514,25.047233,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山北路,一段(行政院右側),121.520388,25.046978,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,2巷口,121.519212,25.045174,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,(西側)與青島西路口,121.519093,25.044731,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,(西側)與濟南路口,121.518727,25.043574,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,(西側)濟南路與徐州路口中間,121.518451,25.042652,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,台大醫院停車場前(南),121.518251,25.041789,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,(西側)與常德街口,121.5177778,25.04027778,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,(西側)外交部,121.517125,25.038772,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,20號(國家圖書館),121.5169444,25.0375,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,20號（國家圖書館）,121.5169444,25.03722222,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,教大附小後門,121.5163889,25.03583333,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,21號左邊,121.517148,25.03669,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,21號右邊,121.517608,25.038292,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,21號右邊,121.517608,25.038292,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,與愛國東路口交叉口,121.516857,25.034859,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,21號(自由廣場),121.516844,25.035709,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,21號(自由廣場),121.517416,25.037612,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,與仁愛路一段(公車站),121.521425,25.038896,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,與仁愛路一段(台大公車站),121.518533,25.039078,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,與青島東路口(監察院邊),121.519501,25.04484,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,與濟南路口(教育部旁),121.519076,25.043166,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,一段5號(徐州路口),121.518703,25.041975,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,一段(教育部前),121.518835,25.042461,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,一段與濟南路口(教會前),121.519129,25.043374,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,與青島東路交叉口(立法院旁),121.519443,25.044398,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中山南路,一段(監察院邊),121.519739,25.045341,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段89號,121.507322,25.037807,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段77號,121.507615,25.038814,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段69號(北西福利站),121.507764,25.039397,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段67號,121.507902,25.039824,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段59號,121.508455,25.041766,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段59號(公車候車亭),121.508308,25.04179,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段(寶慶路口),121.508466,25.041849,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段53號,121.508819,25.043229,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段49號,121.509198,25.04438,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段41號,121.509318,25.044806,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段29之3號(公車候車亭),121.509443,25.045745,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段29之1號,121.509587,25.045761,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段19號,121.509909,25.046675,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,中華路,一段5號,121.510344,25.047319,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,仁愛路,一段42號前(公車站),121.523558,25.038433,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,仁愛路,二段48號(公車站牌),121.528926,25.038152,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,仁愛路,二段前(公車站內108號對面) ,121.532441,25.038059,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,仁愛路,二段3號公車站,121.525422,25.038406,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,仁愛路,一段19號(青少年育樂中心),121.522523,25.038781,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,仁愛路,一段與林森南路交叉口(公車站內),121.52141,25.038899,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,仁愛路,一段轉中山南路路口,121.517927,25.039432,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,仁愛路,一段2之4號(東門國小前),121.521026,25.038743,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,仁愛路,一段(東門國小公車站內),121.521386,25.03873,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,與愛國西路口,121.515482,25.035293,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,29號(教大附小),121.515142,25.035839,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,29號(教大附小),121.515125,25.035919,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,21號(弘道國中),121.515178,25.037142,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,21號(弘道國中),121.515169,25.037343,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,15之3號,121.515848,25.040076,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,台大醫院,121.516232,25.041558,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,台大醫院,121.516429,25.042283,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,台大醫院(復健部),121.516511,25.04269,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,(捷運台大站4號出入口),121.516412,25.042759,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,二二八公園,121.516056,25.0415,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,介壽公園,121.515303,25.038952,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,中央氣象局,121.515,25.03805556,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,公園路,教育大學,121.515,25.03611111,嚴禁投入家用垃圾，違者重罰新台幣6000元
中正,天津街,(警政署側門旁),121.5219,25.046075,嚴禁投入家用垃圾，違者重罰新台幣6000元
