行政區,路名,段、號及其他註明,經度,緯度,備註
北投區,承德路,7段單號(大同公司站),121.5019444,25.11888889,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段單號(立農國小站),121.50356,25.11737,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段212號對面(實踐街口站),121.5063889,25.11472222,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段384號(中油加油站),121.5022222,25.11916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,承德路,7段雙號(大同公司站),121.50122,25.12002,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,261號(石牌站),121.51212,25.10967,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,55號旁(中正高中站),121.51783,25.10497,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,文林北路,53巷口(中正高中站),121.51789,25.10494,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,1段石牌國中大門左側,121.514018,25.114832,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段90巷口(永明派出所站),121.51653,25.11728,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段雙號(護理學院後門右側),121.51907,25.11862,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段雙號(榮總站),121.51948,25.11863,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段雙號(榮總站),121.51961,25.11862,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段單號(榮光新村站),121.52261,25.1198,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段單號(榮總急診室出入口右側),121.52085,25.11891,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段99巷口(永明派出所前三角公園),121.51677,25.11773,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,石牌路,2段322號旁(榮光新村站),121.52275,25.11979,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,明德路,365號(振興醫院站),121.52185,25.11759,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段與公?路口,121.50254,25.1214,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,423巷口對面,121.50238,25.12087,嚴禁投入家用垃圾，違者重罰新台幣6000元
